Tweet No,Tweet Text,Match,Polarity
453,today fda and  issued a statement regarding the johnson amp johnson covid19 vaccine we are recommending a pause in the use of this vaccine out of an abundance of caution,abundance,positive
454,pfizers former vice president and chief scientist for allergy and respiratory michael yeadon,"vice,allergy",negative
455,6 cases out of 7 million people what a disaster this is going to get people killed and its going to create more vaccine hesitancy these people dont understand costbenefit analysis they keep making mistakes by orders of magnitude,"disaster,killed,mistakes",negative
456,how could a covid vaccine cause blood clots scientists race to investigate,No Match,neutral
457,antivaccine folks werent getting talked into vaccines no matter what and hesitant folks will now probably feel safer about moderna amp pfizer bc they now have good vaccines vs bad vaccines instead of all vaccines are scary amp bad,"good,hesitant,bad,scary",negative
458,thewordzwithin they some cold mfs,cold,negative
459,my big brother is a 13month covid19 longhauler who was never hospitalized but cant make it to his mailbox without significant effort and pain in case youre wondering why i frequently want to scream when kenney says most people dont get really sick and arent hospitalized,"significant,pain,scream,sick",negative
460,msnbc did anyone check the jampj vaccine for asbestos just asking,No Match,neutral
461,i am extremely skeptical of the ability of public messaging to disaggregate the jampj vaccine is under review as a precaution from the jampj vaccine is not safe and the others may not be either in the minds of normal people an incredibly crucial highstakes test for the press,"safe,incredibly,skeptical",positive
462,like the pcr test the rumours of my contracting covid were exaggerated amp just as accurate im alive well healthy amp out of twitter jail this virus attacks social media accounts more than people the trolls can once again wail amp gnash their teeth onpoli wearelivingalie,"like,accurate,well,healthy,rumours,virus,attacks,wail",neutral
463,weak and misleading doc how many deathsadverse effects go unreported  plus9998 survival from covid under 50 94 deaths with 3 comorbidities why would younger healthy people take an experimental shot that could possibly kill them,"survival,healthy,weak,misleading,kill",negative
464,one shot down thank you  for getting me vaxxed book your appointment today to help put covid19 behind us,thank,positive
465,most urgent appeala patient in warangal needs plasma of a covid recovered patienthospital name max cure warangalcontact azhar 8555922162,"patient,cure,urgent",positive
466,what does efficacy mean here is 13 of the 100m jampj vaccine totally useless do you get the virus but its symptoms are only 13 as severe,"useless,virus,symptoms,severe",negative
467,lgbtq people were already battling criminalisation which increased under covid19 with the eruption at the la soufriere volcano the disaster threatens a further push into poverty to assist here is a list of organizations you can reach out to in the eastern caribbean,"disaster,poverty",negative
468,scary pentagon scientist says they have created a microchip that needs to be implanted under your skin which senses covid19 in yourbody,scary,negative
469,there is nothing prettier than a city at 3 am with empty streets and cold wind,cold,negative
470,whitmer pleads for more covid compliance so far michigan isnt listening  via,No Match,neutral
471,people are legitimately concerned about positive case rates but the dramatic decline in deaths from covid in the united states is a huge achievement and should be a welcome relief to all of us,"positive,achievement,welcome,relief,concerned,decline",positive
472,the majority of intubated covid19 patients improved their oxygenation during prone position most likely due to a better ventilation perfusion matching  according to a study published in care,"improved,better",positive
473,after junta named cdm in healthcare as  genocide days ago they now have issued arrest warrants on 20 doctors including many high profile professors of countrys healthcare system who involved tirelessly in fighting covid19 pandemicresponse,genocide,negative
474,do not care about birth control being bad for women do not care about vaccine side effects impacting women like this do not care about all of the work women have shouldered because of the pandemic do not care about all of the dvsexual assault that has flared,"like,work,bad,assault",neutral
475,new five ontario hot spots getting vaccine priority are actually less hardhit by covid19 than the average neighbourhood ive uncovered this by examining the data on rates of infections hospitalizations and deaths covid19ontario,"hot,infections",neutral
476,just released the covid19 disruption snapshot shows the devastating impact of covid19 on lifesaving hiv tb and malaria services and systems for health across africa and asia and how adaptive measures must be urgently scaled up unitetofight,"adaptive,disruption,devastating",negative
477,for scale pls keep in mindabout one in every 588 americans have died of covid 562k of 331 million pplabout one in 10 americans have been infected w covid 31 million of 331 millionabout 1 in a million who got j amp j have had blood clots just 6 ppl out of 6 million,"died,infected",negative
478,we have a vaccine for covid19 in less than a year but not one for cancer this statement shows how pathetically we have educated our folks people dont even understand the basics about cancer yet it affects millions clueless idiots know the basics before you run your mouth,"educated,cancer,pathetically,clueless,idiots",negative
479,amy  that is good to hear because if the j amp j is paused after today i will have to get vaccine somewhere else and probably in may  my rental situation is up in the air and i am not waiting two weeks between shots until i find an area to move to,good,positive
480,it will take all of us to do our part to help stop the spread of covid19 please continue to wash your hands regularly for at least 20 seconds practice social distancing and get vaccinated wetogether,No Match,neutral
481,the sweetest ever he told us to safely go home after cuz its so coldthe smile at the end thoseungyoonondreamradio  kangseungyoon yoon  page  iyah  yoon,"safely,smile",positive
482,boom  yet sheeple will not believe covid was a political hoax,"boom,hoax",neutral
483,if only there was a vaccine to prevent stupidity,stupidity,negative
484,the post covid normal will be hybrid work environments  by,work,positive
485,all the vaccines which have been granted emergency approval for restricted use by usfda ema uk mhra pmda japan or who will be granted emergency use approval in indiakudos to shri  ji for time amp again for opening the eyes of this blind government,"approval,emergency,restricted,blind",negative
486,when are you getting your vaccine,No Match,neutral
487,snow in the mid of april norway please,No Match,neutral
488,breaking the fda is allowing medication abortion providers to resume mailing the abortion pill throughout the covid19 pandemic,breaking,negative
489,youre more likely to die from the flu than get a blood clot from the jampj vaccine,die,negative
490,i love how everyone thought bill gates was trying to control us with microchips when instead he just made sure the vaccine wasnt available to poor countries for free,"love,available,free,poor",positive
491,000008823529 have suffered rare blood clots from the johnson amp johnson vaccineso the fda and cdc are urgently putting a pause on itthe chances of your kid being shot at school today are about 10000 times higherthere will be no such urgency addressing that,suffered,negative
492,you have a greater chance of being in a car accident on the way to getting this vaccine than you have of having a problem from this vaccine but thats not how people view risk paul offit told,"problem,risk",negative
493,the eu signed the astrazeneca contract before the uk and then az supplied 20 of what it promisedwhy did the uk government decide to give the brilliant oxford vax to a vaccine novice in azdid that result in 10s millions fewer vaccines,brilliant,positive
494,im gonna get tested for covid this weekend2,No Match,neutral
495,i dont know how people can do wudu using cold water its basically impossible,"cold,impossible",negative
496,this report gives an overview of how much the ukraine hotel industry has been impacted by covid19 and what local hoteliers believe the future holds download for free today   news,free,positive
497,covid knows no borders,No Match,neutral
498,killer with a badge gone rogue judge jury and executioner that department is immune to reform defund,"reform,killer,rogue",negative
499,its wild that everyone is freaking out about the az vaccine causing blood clots 1 in 250000 chance and no one bats an eye at birth control having a one in a thousand risk of blood clots,"wild,freaking,risk",negative
500,it was a pleasure speaking with   about our recent working paper   on institutional selectivity and reopening plans,pleasure,positive
501,heard on the street us health authorities pause in the jampj vaccine rollout should boost confidence in the safety of coronavirus vaccines not erode it,"boost,confidence,erode",positive
502,edmontons fire chief is asking the province to allow firefighters access to the covid19 vaccine as a growing number of them contract covid19 and overtime costs soar to 1 million,No Match,neutral
503,cancelboardexams2021lakhs of students will have to sit together for giving board examination multiple timesnumber of covid cases are rising rapidly and it is requested by students to consider shifting the board exam till the number of cases decreases,No Match,neutral
504,the jampj vaccine is much much safer than injecting bleach,No Match,neutral
505,saddened to learn of the arrest of prof maw maw oo a true leader and pioneer of emergency medicine in myanmar incredibly supportive of me during my time at yangon general hospital arrested for helping his patients  providing healthcare to all whatshappeninginmyanmar,"incredibly,supportive,helping,emergency",positive
506,for perspective here are some numbers1 in 1000000 jampj vaccine1 in 3000 oral contraceptives1 in 5 hospitalized covid19 patientsas someone who got the jampj vaccine 8 days ago and who took oral contraceptives for 20 years ill take these odds,No Match,neutral
507,every mrna vaccine in marketing right now has clotting issues any representation to the contrary is disingenuous and a manipulation the doctors who i speak to in nj have been seeing this with all the vaccinesthe jampj issue is just the one that is being focused on now,"right,issues,disingenuous,manipulation,issue",negative
508,nkem in 1940 nigeria started a vaccine production facility in yaba 1 year later 1 was set up in vom outside jos for animal vaccine production the yaba facility produced almost all our vaccine needs till it was shut down in 1991 for refurbishing amp upgrading it hasnt reopened,No Match,neutral
509,here is the england plan actually stricter than the scottish one,No Match,neutral
510,as covid is spreading at a very rapid rate the centre government should cancelboardexams2021  it has been seen that many young people are getting infected in this covid wave we should not put our students lives at risk,"rapid,infected,risk",negative
511,with a cold front rolling in you can expect highs in the upper 60s tomorrow,cold,negative
512,latest irish hpsc report shows just under 3 hospitalisation in 04yr olds or 3 in 100 as i said 78 of children left with long covid is from latest uk office for national statistics data,No Match,neutral
513,georgia department of health pauses johnson amp johnson vaccine until further notice,No Match,neutral
514,delhi emergency need 2 units a blood platelets  ram mahohar lohia hospital call 9926895225bloodmattersorg via  cc     bloodmatters,emergency,negative
515,covid19 is just a statistic until it reaches your home,No Match,neutral
516,with the aim to fend off variants tweaked covid19 coronavirus vaccines in testing   sarscov2  vaccine  healthcare  mutations  pandemic  via,No Match,neutral
517,on tuesday health district director gina prestridge said the jampj vaccine will be temporarily paused the health district is the only entity receiving a vaccine allocation from the state this week and thats 500 moderna doses,No Match,neutral
518,breaking news the us is recommending a pause in administration of the singledose johnson amp johnson covid19 vaccine to investigate reports of potentially dangerous blood clots,"breaking,dangerous",negative
519,live dothan area officials are giving an update on the areas covid19 efforts gtgt,No Match,neutral
520,people need to stop believing johnson and his corrupt govt i live in spain lockdown ended last may amp the schools went back in september there are restrictionsmasks but shops salons hospitality etc are still open  yet theres been less deaths so far,corrupt,negative
521,6 cases out of 7 million people what a disaster this is going to get people killed and its going to create more vaccine hesitancy these people dont understand costbenefit analysis they keep making mistakes by orders of magnitude,"disaster,killed,mistakes",negative
522,if youre a vaccine person youre gonna dismiss the blood clots and if youre an antivaccine person youre gonna use them as an examplei remain a you do you and ill do me person make your own choices,No Match,neutral
523,c   cancel b   boards s   sabhi e   examsdont let the exam centres become covid hotspotsstudents are precious cancelboardexams2021,precious,positive
524,dangerous fool  now he says this but happy to open country to keep economy going still until then put us in lockdown again if the vaccine programmes gona take a while,"happy,dangerous,fool",negative
525,breaking news sa mulling whether to pause jampj covid19 shot   via,breaking,negative
526,i keep saying 2021 is just an extension of 2020 at this point why not have snow in the middle of april,No Match,neutral
527,live dothan area officials are giving an update on the areas covid19 efforts gtgt,No Match,neutral
528,1 in 30 jamaicans have received one dose of covid 19 vaccine thats not much but thats a good start to recovery,"good,recovery",positive
529,vakeelsaab continues to draw audience to theatres especially women despite facing many socioeconomic and political hurdles content  star powerrequesting all to strictly take  covid19 precautionary measures when you go to watch the movie in theatres,strictly,negative
530,i have a jampj appointment in an hour and if i dont get a vaccine because 6 people out of 6 million got blood clots after i was allowed  nay encouraged  to take hormonal birth control for decades you will be hearing about a tiny little one woman riot,No Match,neutral
531,six people out of millions get a severe side effect from a life saving vaccinestopped immediatelythousands and thousands of people die from gunsoops sorrywant to buy another gun,"severe,die",negative
532,important to note that we do not have clear evidence that the blood clots were even a reaction to the jampj vaccine or whether they would have happened in such a small number of people in the course of their normal life we cant even call it a reaction,"important,clear",positive
533,tonight join us for an ebilive with michael jospe on emergency preparedness this class will explore the type of leadership and awareness we can foster in order to respond in a grounded way sign up here,emergency,negative
534,strange sturgeon arranges a last minute ppb  sorry covid briefing to announce travel restrictions will suddenly lift in 3 days timeperhaps the polls arent quite what they seem and she knows it whistle stop tour of every constituency by helicopter,"strange,sorry",negative
535,texans shouldnt be required to show proof of vaccination amp reveal private health information just to go about their daily livesi issued an executive order that prohibits governmentmandated vaccine passports in texasdont tread on our personal freedoms,freedoms,positive
536,inhalers with budesonide are modestly priced making them a sensible prescription for people nursing covid19 at home,sensible,positive
537,mms has a history of raising money each year for makeawish  due to the changes brought on by covid we held a virtual student showcase which raised over 500000 and helped grant the wish of a mississippi child we are proud of the giving spirit of our students,"helped,proud",positive
538,thread brutal covid truthwith the jampj vaccine now on hold lets assessfrom day one both parties have shared the same pandemic strategy though dems have vaccinated more people1 make sure billionaires keep minting 2 sacrifice lives to keep corporations humming,"brutal,humming",negative
539,hahaha awhh i take it as a compliment honestly suka to see updates from my friends because with covid amp adulthood hanya mampu scroll timeline je yasss im like everywhere my ipod goes hihi terima kasih kembar unge for noticing my presence,"compliment,like",positive
540,now im 100 sure that covid19 is just nothing is an outcome of activating 5g network around india may be for testing or any other purpose   u all proved to be a failure u all proved yourself to be like another politicians only,"like,failure",neutral
541,that i should take the vaccine live on tvwuna no really like me,like,positive
542,do we have zero tolerance for risks of interventions against covid is that the federal governments stance as suggested by the jampj suspensionif so suspend all closures and distancing requirements,risks,negative
543,fcc regulations for running the emergency broadband benefit program have been published in the federal register,"benefit,emergency",neutral
544,important if you have an appointment today at a staterun mass vaccination site for the johnson amp johnson vaccine you will be offered the pfizer vaccine instead you do not need to cancel your appointment,important,positive
545,hey cnn i got your vaccine selfie right here,right,positive
546,worst year in historynot 20201070 norman genocide killed 34 of the popn of northern england1349 black death killed 12 popn of europe1520 smallpox killed 6090 of indigenous popn of the americas1918 spanish flu caused gt50 million deathsbut all overshadowed by 536 ad,"worst,genocide,killed,death",negative
547,the covid19 pandemic has presented us an opportunity to reshape the world order and to reorient our thinking we must create systems that address the problems of today and challenges of tomorrow pm,problems,negative
548,this comes after the cdc and fda recommended a pause of the vaccine early tuesday in a joint statement the two agencies said there are six reported cases of a rare and severe type of blood clot in individuals after receiving the jampj vaccine,"recommended,severe",neutral
549,please rt this for public health information fda is pausing jampj vaccine use while it reviews data data shows only six clotting cases out of nearly 7 million doses administered in us cdc has seen no clotting wpfizer or moderna vaccines after nearly 200 million doses,No Match,neutral
550,6 people out of 7 million who have received the jampj vaccine developed blood clots within 2 weeks literally less than one in a million chance of developing a blood clotbut continue to spread misinformation then complain that things arent going back to normal fast enough,"fast,enough,complain",positive
551,this eye scan can detect covid19 in three minutes with a hit rate of 95,No Match,neutral
552,music dropping this week young thug  sl2 albumlil baby  on me remix f meg the stallionconway the machine  la maquina albumaj tracey  flu game albumidk  shoot my shot f offsetlucki  lifestyle brazy  no jokekenny mason  angelic hoodrat album,"angelic,thug",neutral
553,pizza ice cold beer,cold,negative
554,got7s bambam takes hiatus due to staff members covid19 status,No Match,neutral
555,just wondering if trump takes credit for all the vaccine successesdoes he also own the jnj issues  or no just the wins,"trump,wins,issues",positive
556,tuesdays covid19 numbers for iowafrom monday 10 am to tuesday 10 am445 new casestotal 357484no new deathstotal 5857220 hospitalized1876843 number doses administered781224 individuals fully vaccinated,No Match,neutral
557,simply getting covid19 vaccines is like to train dogs your immune response to defense thieves virus in the yarddue to lack of knowledge of laboriginal sarscov2 amp short of experimental data the dogs are not welltrained but messed up sometimes,"like,virus,lack,messed",negative
558,webinar webinar series insurance insights  what insurers need to know in 2021  covid19 claims  april 22nd 1200 pm  100 pm ct   by,No Match,neutral
559,the cdc and fda are recommending a pause in the use of the johnson amp johnson vaccine out of an abundance of caution while an investigation is conducted into six reported cases of a rare and severe type of blood clot,"abundance,severe",neutral
560,after failing as a full time minister has  switched to full time troll first he trolled congress trying to derail the party with all false accusations now he is trolling  beacuse his govt is not capable to give vaccine to his country men,"capable,failing,false,accusations",negative
561,covid19 has increased burnout across numerous industries on 414  will host a webinar where we will provide tips and strategies to improve employee mental health and productivity register today,improve,positive
562,federal agencies recommend pausing use of johnson amp johnson coronavirus vaccine after reports of rare and severe blood clots,"recommend,severe",neutral
563,may allah grant happiness and health to u and all the family members  stay safe protect yourself from this covid spend your time in ibadat and help needy ramadanmubarak,"happiness,safe,protect,needy",positive
564,covid update in nova scotia with dr strang and premier rankin  thread,premier,positive
565,live dothan area officials are giving an update on the areas covid19 efforts gtgt,No Match,neutral
566,breaking texas health officials have asked providers to stop administering the johnson amp johnson vaccine following a recommendation from the cdc to pause use of the vaccine out of an abundance of caution 1,"recommendation,abundance,breaking",positive
567,our outlook dealership is available this week to serve you virtually due to the positive covid cases in the communityyou can call or text us for any of your parts service sales or support needs and we will make arrangements to help you out  306 8678601,"available,positive,support",positive
568,is there a statement from  that if you are a middle aged woman who received the johnsonandjohnson vaccine in the past two weeks you should subsist on a diet of chocolate cheese and red wine to prevent blot clots asking for a friend,No Match,neutral
569,if you want to install fireplaces youre not my target market and frankly i hope you stay cold,cold,negative
570,6 cases of cerebral venous sinus thrombosis cvst as a result of jampj vaccine administration in usasymptoms presented 613 daystreatment of this blood clot is different from other types of blood clotsheparin as treatment may be dangerous alternatives advised sabcnews,dangerous,negative
571,what will the jampj pause mean for massachusetts not much in the near term says  since mass was already told they were not getting the expected number of jampj vaccine doses but the long term is a different story listen to him with,No Match,neutral
572,join the uab office of research for a covid19 roundtable focused on the pandemics impact on the conduct of cohort studies and trials on april 23 from 3305 pm register by visiting,No Match,neutral
573,if all it took was 6 women to get blood clots for them to stop the johnson amp johnson vaccine then how come they havent stopped the police from killing so many unarmed black people,killing,negative
574,covid19 vaccination,No Match,neutral
575,i thought the rna from the vaccine would degrade as well so does it being protected in a liposome mean it will offer longer immunity,"well,degrade",neutral
576,twitter pharmacists omg 6 people got blood clots out of 7 million shut it down the same twitter pharmacists in their twitter doctor phase 500000 people died yall its just the flu calm down and live your life,"calm,died",neutral
577,islamic scholars say you can still get the covid vaccine during fastingthe vaccine goes into the muscle rather than the bloodstream and is not nutritious it does not amount to breaking the fast,"fast,breaking",neutral
578,its wild that everyone is freaking out about the az vaccine causing blood clots 1 in 250000 chance and no one bats an eye at birth control having a one in a thousand risk of blood clots,"wild,freaking,risk",negative
579,pspkranamovie kurnool backdrop moviecovid lenapudu release cheyandiwith proper content  promotionsproper bs  ticket hike permissioncourt drama tho eedchi kodthunadu inka mass cinema click aithe voochakothe ceeded lovakeelsaab,"proper,bs",neutral
580,no because that isnt the only vaccine available nor is it even the most common or even necessary in numbers and how would the cdc knew it could cause death and sweeped it under the rug help the faith in our scientific institutions,"available,faith,death",positive
581,ca read a study by israeli researchers saying those vaccinated are actually more succeptable to the variant becoming more and more clear that we will need to learn to live with covid as the vaccines will be unable to provide protection against all the variants,"clear,protection,unable",positive
582,kumbh congregation is still on when coronavirus infection has crossed 15l cases daily is because government is scared of religious backlash government lack the spine to implement any covid protocol this is called appeasement period,"infection,scared,lack",negative
583,a potentially lifesaving vaccine is being stalled because of a statistically insignificant clotting problem 00000857 chance but doctors are still prescribing birth control pills daily 05 chance to young women with acne,"insignificant,problem",negative
584,in the whole existence of myanmar this is probably the 2nd time after covid19 last year that we are not able to celebrate thingyan however lets still keep our spirits up its not festive but its revolutionary revolutionarythingyan,"celebrate,festive,revolutionary",positive
585,weather in oslo at 1700 partly cloudy   showers in the vicinity temp 86c min today 09c rain today10mm snow now 00cm wind n conditions partly cloudy   showers in the vicinity daylight1424 hours sunset 2030,cloudy,negative
586,we are just scratching the surface of possible properties of cannabis as an element of medicine mgc focuses on neurology oncology and the antiimmune as we already have intellectual property in that direction which has already proved incredibly promising biopharma,"incredibly,promising",positive
587,c   cancel b   boards s   sabhi e   examsdont let the exam centres become covid hotspotsstudents are precious cancelboardexams2021 cancelboardexam2021,precious,positive
588,ive had a blood clot my friend had a blood clot my uncle had a blood clot scary but not uncommon until a causal link between vaccine and these unfortunate 6 in 7 million cases is made why stop jampj vaccinations when thousands are dying,"scary,unfortunate,dying",negative
589,got home test kits for covid  after use place all the items and packaging into the bag provided and put it in your black bin whether the test was positive or negativecardboard box and leaflet can go in green binmany thanks  doing this will help to keep everyone safe,"positive,safe",positive
590,us pauses jampj covid19 vaccine over rare blood clots,No Match,neutral
591,active covid19 cases continue to decline as nearly 19 of cyfair population fully vaccinated,decline,negative
592,request snowman  fridaylivestreamsnow mancrazy fresh beatthey are very cool when they are singing and dancing but when they get off the stage they show their cute side,"fresh,cool,cute",positive
593,cdc and fda statement on recommendation to pause jampj covid vaccines we are recommending a pause in the use of this vaccine out of an abundance of caution,"recommendation,abundance",positive
594,the government has removed their underwear now everyone would try to penetrate themfrom si to pfizer to jampj to every tom dick and harryshould we be ready for a price escalation followed by a vaccine cess,"ready,dick",neutral
595,its wild that everyone is freaking out about the az vaccine causing blood clots 1 in 250000 chance and no one bats an eye at birth control having a one in a thousand risk of blood clots,"wild,freaking,risk",negative
596,karnataka cm  to hold allparty meet to discuss covid19 crisis says there wont be lockdown in stateread,crisis,negative
597,vaccine appointments no longer available at walgreens  brentwood as of 958,available,positive
598,please take you time to educate yourselfs blm was not a trend to distract u from covid a black man named daunte wright in minnesota got murdered for having air fresheners on his side mirror heres some important links feel free to reply with more,"important,free,distract",positive
599,so now that the fda has paused johnsonampjohnson vaccine for blood clots are youtube and msnbc all the  websites that tried to silence people for saying these vaccines are not safe going to make compensation to people for spreading misinformation,safe,positive
600,johnson and johnson delays european vaccine rollout as us pauses use over blood clots,delays,negative
601,its wild that everyone is freaking out about the az vaccine causing blood clots 1 in 250000 chance and no one bats an eye at birth control having a one in a thousand risk of blood clots,"wild,freaking,risk",negative
602,i would gladly take the az or jampj vaccine the risks are so much lower than the pill ive taken every single day since i was 14 i think ill be okay just vaccinate me,"gladly,risks",neutral
603,today is the first day that all pennsylvania residents age 16 and older can start getting a covid19 vaccine,No Match,neutral
604,covid19india a simple question  does covid19 have problem with amitshah modiji rallies  its never seen thererest everywhere else coronavirus is present,problem,negative
605,its going to be a long week once antivaxxers get their hands on the news of johnson amp johnson vaccine causing blood clotting in checks notes 6 people out of 7 million doses,No Match,neutral
606,mumbai has multiple problems of covid corruption commuting vazecut money amp above all the  pollution,"problems,corruption",negative
607,the biggest super spreader event is at our southern border covid positive illegals are being relocated into our communities and the party of science doesnt seem to care they want this to happen,"super,positive",positive
608,we have to go back to the basic principles of public health that was thrown out the window a year ago its not one disease public health is about all the diseases so all the collateral damage professor  april 2021,damage,negative
609,final share from craig at 25 years years old he is now suffering from  erectile dysfunction as a consequence of catching covid19 its not funny but he said its fine if people laugh rt,"fine,suffering,funny",negative
610,the cdc and fda are recommending that the united states pause the use of johnson amp johnsons covid19 vaccine over six reported us cases of a rare and severe type of blood clot,severe,negative
611,they have consistently emphasized that this is an extremely rare phenomenon related to immune mediated errant response to ones own platelets johnsonandjohnson,"consistently,errant",neutral
612,vakeelsaab continues to draw audience to theatres especially women despite facing many socioeconomic and political hurdles content  star powerrequesting all to strictly take  covid19 precautionary measures when you go to watch the movie in theatres,strictly,negative
613,key medical news  vaccineinduced thrombosis cant be treated with standard blood thinner heparin makes situation much worse so reach for other options heres one  a direct thrombin inhibitor called argatrobanwrote this review with ik during cardiology fellowship,"thinner,worse",neutral
614,luckily this male hooded wheatear was at cape greco which is accessible for exercise under current covid movement restrictions present since saturday i was happy to see it this morning it ignored me as it hunted for insects and at one stage nearly landed on my foot cyprusbirds,"accessible,happy",positive
615,we have to go back to the basic principles of public health that was thrown out the window a year ago its not one disease public health is about all the diseases so all the collateral damage professor  april 2021,damage,negative
616,why are people surprised the jampj vaccine is making people gay its called johnson amp johnson not johnson amp hoohaa,No Match,neutral
617,is the virus dangerous enough that we should vaccinate people with a vaccine that might possibly but probably not have a 1in7 million chance of a deadly blood clotif the virus is not that dangerous how can we justify continued closures of schools main streets etc,"enough,virus,dangerous,deadly",negative
618,raipurneed blood type   opositiveat  balai hospitalblood component  plasma from covid recovery patientprimary number  7722889926secondary number  7077674440patient  awadhesh gupta illness  covidvia bloodmatterspowered by twitter,"recovery,illness",neutral
619,the  says they are still serving thousands more people every week because of the pandemic and that wont slow down for the next two years the good newstheyve adjusted to a new covid normal so they have enough food for anyone who needs itjohn gusky,"good,enough,slow",positive
620,vaccine registration week has been going on since sunday targeting people on fort waynes southeast side giving them the chance to sign up for the covid19 vaccine,No Match,neutral
621,i really believe covid has created a window of political opportunity  chrystia freelandmake this clip go viral,No Match,neutral
622,im using the provinciallyreported number here,No Match,neutral
623,we are recommending a pause in the use of this vaccine out if an abundance of caution dr peter marks director of the food and drug administrations center for biologics evaluation and research,abundance,positive
624,all illinois residents age 16 and older are now eligible to get the covid19 vaccine watch for updated vaccination information from cu public health and sign up to get yourself and your family vaccinated when you can  heresthespotgetyourshot vaxupcu,No Match,neutral
625,central board of secondary education  cancel 2021 cbse board exams due to covid19  sign the petition  via india,No Match,neutral
626,volcanoes in france if you are in the auvergne take the train up to the top of puy de dome and have a look at all the volcanoes note even if its warm at ground level wear warm clothes its cold up top    francefr explorefrance,"top,warm,cold",positive
627,6 cases out of 7 million people what a disaster this is going to get people killed and its going to create more vaccine hesitancy these people dont understand costbenefit analysis they keep making mistakes by orders of magnitude,"disaster,killed,mistakes",negative
628,simply getting covid19 vaccines is like to train dogs your immune response to defense thieves virus in the yarddue to lack of knowledge of laboriginal sarscov2 amp short of experimental data the dogs are not welltrained but messed up sometimes,"like,virus,lack,messed",negative
629,nile breweries joins covid19 vaccinationdrive,No Match,neutral
630,breaking real madrid announce sergio ramos has tested positive for covid19,"positive,breaking",neutral
631,the nationwide emergency brake is long overduechancellor angela merkel stressed the need for stricter nationwide coronavirus restrictions as the third wave of the pandemic tightens its grip on germany,emergency,negative
632,vaccine registration week has been going on since sunday targeting people on fort waynes southeast side giving them the chance to sign up for the covid19 vaccine,No Match,neutral
633,whats your evidence for saying that a brief pause to investigate safety concerns in the jampj reinforces vaccine hesitancy it seems to me people would be reassured to hear that safety concerns get promptly checked out besides if the jampj is only 5 of vaccines anyway,"promptly,concerns",negative
634,new trailer for zack snyders armyofthedead will be online shortly and its pretty awesome a far different movie than i had been expecting with evolved zombies that look awesome and remind of george romeros smart zombies and it looks like animals arent immune in this world,"pretty,awesome,smart,like",positive
635,in the wake of covid and the rent payment issues at play if you go down the route of negotiating a new lease what should this look like join thecta on the 21st april  1pm for our free webinar discussing what you should look out forregister now,"like,free,issues",positive
636,eu aims for covid certificate launch by end of june,No Match,neutral
637,xiiiiii  we all know cases arent accurate comparison look up covid deaths sweden and germany sept20ytd hint picture in picture funny how different measures lead to the same result huh,"accurate,lead,funny",positive
638,guidance to state vaccine administrators after fda temporary halt on jampj vaccines,guidance,positive
639,ontario vaccine stats apr 12 daily vaccines 95692 20970total vaccinations 3310157this is 8216 of the 4028725 vaccines ontario has receivedvaccinateontario wearamask washyourhands,No Match,neutral
640,we have tried to protect our 13 billion citizens from covid19 and also tried to support pandemic response efforts of others pm modi,"protect,support",positive
641,no truth in reports of covid19 high infection rate among childrenfor more details arynews,infection,negative
642,c   cancel b   boards s   sabhi e   examsdont let the exam centres become covid hotspotsstudents are precious cancelboardexams2021,precious,positive
643,its wild that everyone is freaking out about the az vaccine causing blood clots 1 in 250000 chance and no one bats an eye at birth control having a one in a thousand risk of blood clots,"wild,freaking,risk",negative
644,lol last week twitter slapped a warning label on my tweets for saying that using experimental vaccines on children is a form of child abuse today twitters headline story is that the cdc amp fda are pausing the jampj vaccine due to adverse reactions trust the science,"trust,warning,abuse,adverse",negative
645,cnns coverage of the third wave and limited vaccine supply in canada makes news onpoli cdnpoli,limited,negative
646,vakeelsaab continues to draw audience to theatres especially women despite facing many socioeconomic and political hurdles content  star powerrequesting all to strictly take  covid19 precautionary measures when you go to watch the movie in theatres,strictly,negative
647,combining mask wearing socialdistancing suppresses covid19 virus spread publishing,virus,negative
648,gov desantis says he will follow cdc recommendations and put a hold on johnson amp johnson covid19 vaccinations in florida,recommendations,positive
649,is the virus dangerous enough that we should vaccinate people with a vaccine that might possibly but probably not have a 1in7 million chance of a deadly blood clotif the virus is not that dangerous how can we justify continued closures of schools main streets etc,"enough,virus,dangerous,deadly",negative
650,whats desperately depressing about access to ministers scandal is that covid bereaved families group were turned down 7 times when asking to meet matt hancock amp more times when asking to meet boris johnsonbut if you want public money then theyre available for a chat anytime,"available,desperately,depressing,scandal",negative
651,covid19 is just a statistic until it reaches your home,No Match,neutral
652,republican leadership caused hundreds of thousands of unnecessary us deaths due to covid the republicans who supported that leadership are still in the house and senate acting like they deserve trust,"supported,like,trust,unnecessary",positive
653,i went snowboarding and spent time with my family for the last three days and trust me when i tell you that i tried so hard to turn my doctor brain off so hardthen on my first run of the day today the universe put me on a lift with a family talking about covid and vaccines,"trust,hard",neutral
654,youre more likely to be struck by lightning than  have a blood clot from the vaccinebut at least people cab be safely locked up in their homes,"safely,struck",neutral
655,cant believe theres companies i deliver to that say i dont have to wear a mask while im there but dont allow me to use the restrooms due to covid strange times were living in,strange,negative
656,doses yes full vaccine is only achieved by 2 doses again misleading,misleading,negative
657,combining mask wearing socialdistancing suppresses covid19 virus spread publishing,virus,negative
